"day","Seller 1","Seller 2","Seller 3","Seller 4","Seller 5","Seller 6"
1,320,80,139,330,133,387
2,74,60,98,44,182,29
3,340,67,42,100,51,91
4,322,54,89,44,67,886
5,146,195,47,173,49,227
6,24,288,124,111,730,79
7,42,249,26,77,672,45
8,76,67,140,382,195,171
9,99,312,125,123,43,98
10,915,77,106,250,149,70
11,202,504,101,205,682,134
12,47,167,126,48,93,63
13,34,65,55,56,333,1157
14,76,46,89,104,56,470
15,75,34,184,35,299,205
16,68,37,275,170,57,192
17,126,23,114,30,43,60
18,43,290,89,446,57,226
19,149,215,43,63,62,72
20,31,81,26,469,60,39
21,81,127,47,68,315,566
22,141,70,317,40,160,42
23,113,947,203,102,108,76
24,209,48,81,102,50,56
25,94,95,67,21,54,41
26,159,125,67,263,69,173
27,271,176,250,35,48,24
28,52,85,77,136,95,82
29,30,12,317,157,240,58
30,104,31,181,113,45,27
